name,school,nces_id,district,category,posting_type,salary_link,city,address,zip,grades,school_type,student_count,school_type2
Therapist Ex Ed Speech Language Pool (2025-2026) - (25002659),,,Metro Nashville Public Schools,Special Education (General),District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,
Teacher Language Spanish (2025-2026) - (25002522),John Trotwood Moore Middle,470318001346,Metro Nashville Public Schools,Foreign Language: Spanish,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,4425 Granny White Pike,37204,"['6', '7', '8']",Public,528.0,['Middle']
Therapist Ex Ed Speech Language (2025-2026) - (25002958),,,Metro Nashville Public Schools,Special Education (General),District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,
Spec Instructional (Pool 2025-26 SY) - (25001627),,,Metro Nashville Public Schools,Reading/Literacy,District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,
Teacher Health Physical Education Secondary (2025-2026) - (25003405),,,Metro Nashville Public Schools,Health & Physical Education,District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,
Teacher English Learner Secondary - (25003223),,,Metro Nashville Public Schools,English as a Second Language (ESL),District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,
Teacher Grade 1 (2025-2026) - (25001988),Bellshire Elementary,470318001262,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1128 Bell Grimes Ln,37207,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,402.0,['Elementary']
Teacher Grade 4 (2025-2026) - (25002114),Bellshire Elementary,470318001262,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1128 Bell Grimes Ln,37207,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,402.0,['Elementary']
Possible Growth ESL Teacher (2025-2026 School Year),,,Rutherford County,English as a Second Language (ESL),District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,
Possible Growth Library/Media Specialist (2025-2026 School Year),,,Rutherford County,Library & Media,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,
5th Grade Teacher (2025-2026 School Year),Smyrna Primary,470369001530,Rutherford County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Smyrna,200 Walnut St,37167,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,581.0,['Elementary']
4th Grade Teacher (2025-2026 School Year),Smyrna Primary,470369001530,Rutherford County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Smyrna,200 Walnut St,37167,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,581.0,['Elementary']
Possible Growth Elementary Teacher (2025-2026 School Year),,,Rutherford County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,
SpEd. BIC Teacher,,,Rutherford County,Special Education (Comprehensive),District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,
Possible Growth 1st Grade Teacher (2025-2026 School Year),,,Rutherford County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,,,,,,,
Classroom Teacher- Project Graduation,,,Memphis-Shelby County Schools,Special Education (Comprehensive),District,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,,,,,,,
Summer Program - Hope Academy,,,Memphis-Shelby County Schools,Other,District,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,,,,,,,
Teacher Ex Ed Itinerant - (25003396),,,Metro Nashville Public Schools,Special Education (General),District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,
Teacher Math (2025-2026) - (25002589),,,Metro Nashville Public Schools,Mathematics,District,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,,,,,,,
"Grade 8 Other Teacher - Full-time, Interim",Ocoee Middle School,470033000089,Bradley County,Other,School,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,Cleveland,2250 N Ocoee St,37311,"['6', '7', '8']",Public,997.0,['Middle']
Grade 6 English/Language Arts Teacher,Ocoee Middle School,470033000089,Bradley County,Language Arts,School,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,Cleveland,2250 N Ocoee St,37311,"['6', '7', '8']",Public,997.0,['Middle']
Special Education Teacher (Graduating Student),,,Bradley County,Special Education (General),District,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,,,,,,,
Middle School Classroom Teacher (Graduating Students),,,Bradley County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,,,,,,,
Special Education CDC Teacher,Waterville Community Elementary School,470033000106,Bradley County,Special Education (Comprehensive),School,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,Cleveland,4081 Dalton Pike,37323,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,660.0,['Elementary']
Speech Pathologist - Special Education Teacher,,,Bradley County,Special Education (General),District,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,,,,,,,
After-School Program Instructional Staff - Part-Time - Interim,,,Bradley County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,,,,,,,
Elementary Classroom Teacher (Graduating Students),,,Bradley County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1zfyYzIeuAjdi-1i7Xs2whvDgKNjbdlpT/view,,,,,,,
Teacher - K-5  (2025-2026)- Certified Employee Application (Teacher) - Liberty School,,,Bedford County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,,,,,,,
Special Education - Vision Teacher - (PreK-12th Grade) - Certified Employee Application Teacher - Systemwide,,,Bedford County,Special Education (General),District,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,,,,,,,
Teacher - K-5th P.E. (2025/2026) - Certified Employee Application (Teacher) - Cartwright Elementary School,,,Bedford County,Health & Physical Education,District,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,,,,,,,
Teacher - Math/Science (3rd Grade) (Interim until 5/29/2025) - Certified Employee Application (Teacher) - Southside Elementary,South Side Elementary,470018000044,Bedford County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1cq1tUzcNcdayP0hKV3C0_nkqg9KEoDpP/view,Shelbyville,903 Cannon Blvd,37160,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,387.0,['Elementary']
Teacher: For future use for the 2025 2026 school year,,,Bledsoe County,Other,District,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,,,,,,,
TN ALL Corp Tutors (Middle School Math &amp; Third Grade ELA),,,Bledsoe County,Language Arts,District,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,,,,,,,
Elementary Teacher,,,Bledsoe County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,,,,,,,
Pre-K Teacher,,,Bledsoe County,Early Childhood,District,https://drive.google.com/file/d/1QXKjC54z-ASDzZIyQvAjx2xCd6L8IQf5/view,,,,,,,
County-Wide ELL Teacher,,,Macon County,English as a Second Language (ESL),District,https://drive.google.com/file/d/1od0egZ7trlVJJQgwjxn46WySkNW9GcQO/view,,,,,,,
County-Wide ELL Teacher for the 25-26 SY,,,Macon County,English as a Second Language (ESL),District,https://drive.google.com/file/d/1od0egZ7trlVJJQgwjxn46WySkNW9GcQO/view,,,,,,,
Lafayette Elementary School 4th Grade Teacher for the 25-26 SY,Lafayette Elementary School,470255002024,Macon County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1od0egZ7trlVJJQgwjxn46WySkNW9GcQO/view,Lafayette,401 Meador Dr,37083,"['4', '5']",Public,422.0,['Elementary']
General Application-Certified,,,Macon County,Other,District,https://drive.google.com/file/d/1od0egZ7trlVJJQgwjxn46WySkNW9GcQO/view,,,,,,,
TEACHER REG - GRADE 8 SCIENCE TEACHER,East Middle School,470420001712,Tullahoma,Science,School,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,Tullahoma,908 Country Club Dr,37388,"['6', '7', '8']",Public,376.0,['Middle']
TEACHER REG - GRADE 7 ELA TEACHER,East Middle School,470420001712,Tullahoma,Language Arts,School,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,Tullahoma,908 Country Club Dr,37388,"['6', '7', '8']",Public,376.0,['Middle']
TEACHER REG - GRADE 7 SCIENCE TEACHER,East Middle School,470420001712,Tullahoma,Science,School,https://drive.google.com/file/d/1Cn9qpHD8fbb50TYoCVqp36ztLe0Bs2lD/view,Tullahoma,908 Country Club Dr,37388,"['6', '7', '8']",Public,376.0,['Middle']
